"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_GG_TAB","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY","GENERIC GUNPLAY",
"STR_GG_CATEGORY_STATS","STAT DISPLAY","STAT DISPLAY","ZOBRAZENÍ STATISTIK","STAT-ANZEIGE","ОТОБРАЖЕНИЕ ХАРАКТЕРИСТИК","WYŚWIETLANIE STATYSTYK","STATISZTIKÁK MEGJELENÍTÉSE","VISUALIZZAZIONE STATISTICHE","VISUALIZACIÓN DE ESTADÍSTICAS","AFFICHAGE DES STATISTIQUES","數值顯示","ステータス表示","EXIBIÇÃO DE ESTATÍSTICAS","属性显示",
"STR_GG_SHOW_ALL_STATS","Show all gunplay stats","Show all gunplay stats","Zobrazit všechny statistiky střelby","Alle Gunplay-Werte anzeigen","Показывать все параметры стрельбы","Pokaż wszystkie statystyki broni","Összes fegyverstatisztika megjelenítése","Mostra tutte le statistiche delle armi","Mostrar todas las estadísticas de armas","Afficher toutes les statistiques des armes","顯示所有槍械數值","すべての銃器ステータスを表示","Mostrar todas as estatísticas de armas","显示所有枪械属性",
"STR_GG_TOOLTIP_STATS","Inventory tooltip","Inventory tooltip","Popisek v inventáři","Inventar-Tooltip","Подсказка в инвентаре","Podpowiedź w ekwipunku","Leltári elemleírás","Descrizione nell'inventario","Información en el inventario","Infobulle d'inventaire","物品欄提示","インベントリのツールチップ","Dica no inventário","物品栏提示",
"STR_GG_INSPECT_STATS","Inspect view","Inspect view","Zobrazení při prohlížení","Untersuchungsansicht","Просмотр предмета","Widok inspekcji","Vizsgálati nézet","Vista ispezione","Vista de inspección","Vue d'inspection","檢視畫面","調査ビュー","Vista de inspeção","检视界面",
"STR_GG_MARKET_STATS","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market","Expansion Market",
"STR_GG_CATEGORY_CROSSHAIR","CROSSHAIR","CROSSHAIR","ZAMĚŘOVAČ","FADENKREUZ","ПРИЦЕЛ","CELOWNIK","CÉLKERESZT","MIRINO","RETÍCULA","RÉTICULE","準星","クロスヘア","MIRA","准星",
"STR_GG_CROSSHAIR_MODE","Crosshair mode","Crosshair mode","Režim zaměřovače","Fadenkreuzmodus","Режим прицела","Tryb celownika","Célkereszt mód","Modalità mirino","Modo de retícula","Mode du réticule","準星模式","クロスヘアモード","Modo da mira","准星模式",
"STR_GG_WAITING_SERVER","Waiting for server settings","Waiting for server settings","Čekání na nastavení serveru","Warte auf Servereinstellungen","Ожидание настроек сервера","Oczekiwanie na ustawienia serwera","Várakozás a szerverbeállításokra","In attesa delle impostazioni del server","Esperando la configuración del servidor","En attente des paramètres du serveur","正在等待伺服器設定","サーバー設定を待機中","Aguardando as configurações do servidor","正在等待服务器设置",
"STR_GG_SERVER_MODE_VANILLA","Server controlled: Vanilla","Server controlled: Vanilla","Řízeno serverem: Vanilla","Vom Server vorgegeben: Vanilla","Управляется сервером: Vanilla","Sterowane przez serwer: Vanilla","Szerver által vezérelt: Vanilla","Controllato dal server: Vanilla","Controlado por el servidor: Vanilla","Contrôlé par le serveur : Vanilla","伺服器控制：Vanilla","サーバー制御: Vanilla","Controlado pelo servidor: Vanilla","服务器控制：Vanilla",
"STR_GG_SERVER_MODE_WEAPON","Server controlled: Weapon aligned","Server controlled: Weapon aligned","Řízeno serverem: podle zbraně","Vom Server vorgegeben: an Waffe ausgerichtet","Управляется сервером: по направлению оружия","Sterowane przez serwer: zgodnie z bronią","Szerver által vezérelt: fegyverhez igazítva","Controllato dal server: allineato all'arma","Controlado por el servidor: alineado con el arma","Contrôlé par le serveur : aligné sur l'arme","伺服器控制：依武器對齊","サーバー制御: 武器に追従","Controlado pelo servidor: alinhado com a arma","服务器控制：跟随武器",
"STR_GG_SERVER_MODE_LASER","Server controlled: Weapon aligned - laser only","Server controlled: Weapon aligned - laser only","Řízeno serverem: podle zbraně - pouze laser","Vom Server vorgegeben: an Waffe ausgerichtet - nur Laser","Управляется сервером: по направлению оружия - только лазер","Sterowane przez serwer: zgodnie z bronią - tylko laser","Szerver által vezérelt: fegyverhez igazítva - csak lézerrel","Controllato dal server: allineato all'arma - solo laser","Controlado por el servidor: alineado con el arma - solo láser","Contrôlé par le serveur : aligné sur l'arme - laser uniquement","伺服器控制：依武器對齊 - 僅限雷射","サーバー制御: 武器に追従 - レーザー使用時のみ","Controlado pelo servidor: alinhado com a arma - somente laser","服务器控制：跟随武器 - 仅限激光",
"STR_GG_DISABLED_BY_SERVER","Disabled by server","Disabled by server","Zakázáno serverem","Vom Server deaktiviert","Отключено сервером","Wyłączone przez serwer","A szerver letiltotta","Disabilitato dal server","Desactivado por el servidor","Désactivé par le serveur","已由伺服器停用","サーバーにより無効","Desativado pelo servidor","已由服务器禁用",
"STR_GG_NOT_ADJUSTABLE_WITH_VANILLA","Not adjustable with Vanilla","Not adjustable with Vanilla","S Vanilla nelze nastavit","Bei Vanilla nicht anpassbar","Недоступно с Vanilla","Niedostępne z Vanilla","Vanilla módban nem állítható","Non regolabile con Vanilla","No ajustable con Vanilla","Non réglable avec Vanilla","原版準星無法設定","バニラでは設定不可","Não ajustável com Vanilla","原版准星无法设置",
"STR_GG_OFF","Off","Off","Vypnuto","Aus","Выкл.","Wył.","Ki","Disattivato","Desactivado","Désactivé","關閉","オフ","Desativado","关闭",
"STR_GG_ON","On","On","Zapnuto","An","Вкл.","Wł.","Be","Attivato","Activado","Activé","開啟","オン","Ativado","开启",
"STR_GG_CROSSHAIR_VANILLA","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla","Vanilla",
"STR_GG_CROSSHAIR_WEAPON","Weapon aligned","Weapon aligned","Podle zbraně","An Waffe ausgerichtet","По направлению оружия","Zgodnie z bronią","Fegyverhez igazítva","Allineato all'arma","Alineado con el arma","Aligné sur l'arme","依武器對齊","武器に追従","Alinhado com a arma","跟随武器",
"STR_GG_CROSSHAIR_LASER","Weapon aligned - laser only","Weapon aligned - laser only","Podle zbraně - pouze laser","An Waffe ausgerichtet - nur Laser","По направлению оружия - только лазер","Zgodnie z bronią - tylko laser","Fegyverhez igazítva - csak lézerrel","Allineato all'arma - solo laser","Alineado con el arma - solo láser","Aligné sur l'arme - laser uniquement","依武器對齊 - 僅限雷射","武器に追従 - レーザー使用時のみ","Alinhado com a arma - somente laser","跟随武器 - 仅限激光",
"STR_GG_CATEGORY_VISIBLE_STATS","VISIBLE STATS","VISIBLE STATS","VIDITELNÉ STATISTIKY","SICHTBARE WERTE","ВИДИМЫЕ ХАРАКТЕРИСТИКИ","WIDOCZNE STATYSTYKI","LÁTHATÓ STATISZTIKÁK","STATISTICHE VISIBILI","ESTADÍSTICAS VISIBLES","STATISTIQUES VISIBLES","可見數值","表示するステータス","ESTATÍSTICAS VISÍVEIS","可见属性",
"STR_GG_STAT_RECOIL","Recoil","Recoil","Zpětný ráz","Rückstoß","Отдача","Odrzut","Visszarúgás","Rinculo","Retroceso","Recul","後座力","反動","Recuo","后坐力",
